date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:46	28966/28966	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-7126%22	https://prium.github.io/elixir/v3.0.0/pages/service.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/pages/service.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:46	27803/27803	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-6c9b%22	https://prium.github.io/elixir/v3.0.0/pages/about.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/pages/about.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:46	21324/21324	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-534c%22	https://prium.github.io/elixir/v3.0.0/pages/alumni.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/pages/alumni.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:46	10290/10290	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-2832%22	https://prium.github.io/elixir/v3.0.0/pages/blank.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/pages/blank.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:47	4579/4579	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-11e3%22	https://prium.github.io/elixir/v3.0.0/pages/404.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/pages/404.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:47	5890/5890	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-1702%22	https://prium.github.io/elixir/v3.0.0/pages/login.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/pages/login.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:47	5930/5930	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-172a%22	https://prium.github.io/elixir/v3.0.0/pages/registration.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/pages/registration.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:47	24052/24052	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-5df4%22	https://prium.github.io/elixir/v3.0.0/news/newsroom.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/news/newsroom.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:48	28395/28395	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-6eeb%22	https://prium.github.io/elixir/v3.0.0/news/news.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/news/news.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:48	28400/28400	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-6ef0%22	https://prium.github.io/elixir/v3.0.0/elements/buttons.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/buttons.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:48	22399/22399	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-577f%22	https://prium.github.io/elixir/v3.0.0/elements/colors.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/colors.html	(from https://prium.github.io/elixir/v3.0.0/)
13:48:48	17734/17734	---M-Z	200	added ('OK')	text/html	etag:W/%2261c846e9-4546%22	https://prium.github.io/elixir/v3.0.0/elements/googlemap.html	C:/Users/paulo/Desktop/viajante_blindado/prium.github.io/elixir/v3.0.0/elements/googlemap.html	(from https://prium.github.io/elixir/v3.0.0/)
